Region,Place Code,Place,ODS Code,GP Practice (ODS Code),Registered Patients,% of patients with a nomination,EPS Items,eRD Items,All Items,EPS Utilisation,eRD Utilisation (EPS Items),eRD Utilisation (All Items)
London,36L,South West London,H84619,Claremont Medical Centre (H84619),11374,71.3%,7129,1664,7165,99.5%,23.3%,23.2%
London,36L,South West London,H84623,Hampton Hill Medical Centre (H84623),8700,73.5%,11406,6580,11521,99.0%,57.7%,57.1%
London,36L,South West London,H84625,Woodlawn Medical Centre (H84625),4837,66.3%,6427,2992,6708,95.8%,46.6%,44.6%
London,36L,South West London,H84629,Village Surgery (H84629),978,35.5%,34,3,34,100.0%,8.8%,8.8%
London,36L,South West London,H84630,Crane Park Surgery (H84630),3900,67.4%,2960,1190,3560,83.1%,40.2%,33.4%
London,36L,South West London,H84635,Manor Drive Medical Centre (H84635),15482,72.8%,15899,4588,16210,98.1%,28.9%,28.3%
London,36L,South West London,H84639,Kew Medical Practice (H84639),5803,58.9%,2437,515,2483,98.1%,21.1%,20.7%
London,36L,South West London,H85001,Wandsworth Medical Centre (H85001),18115,60.7%,12961,6131,13212,98.1%,47.3%,46.4%
London,36L,South West London,H85002,Falcon Road Medical Centre (H85002),9347,61.9%,9791,4230,10378,94.3%,43.2%,40.8%
London,36L,South West London,H85003,Queenstown Road Medical Practice (H85003),7324,67.7%,11840,2157,12145,97.5%,18.2%,17.8%
London,36L,South West London,H85005,Trinity Medical Centre (H85005),7063,71.6%,12877,6875,13094,98.3%,53.4%,52.5%
London,36L,South West London,H85006,Mayfield Surgery (H85006),6865,66.2%,10720,5991,10865,98.7%,55.9%,55.1%
London,36L,South West London,H85007,Southfields Group Practice (H85007),11324,73.2%,15885,6888,16153,98.3%,43.4%,42.6%
London,36L,South West London,H85008,Roehampton Lane Surgery (H85008),6293,74.5%,13482,6856,13807,97.6%,50.9%,49.7%
London,36L,South West London,H85009,Bedford Hill Family Practice (H85009),11904,70.4%,10079,4250,10248,98.4%,42.2%,41.5%
London,36L,South West London,H85011,Greyswood Practice (H85011),10164,74.1%,13804,6637,13949,99.0%,48.1%,47.6%
London,36L,South West London,H85012,Putneymead Group Medical Practice (H85012),25778,61.7%,19461,7554,19685,98.9%,38.8%,38.4%
London,36L,South West London,H85018,Mulgrave Road Surgery (H85018),8539,73.1%,10129,3344,10239,98.9%,33.0%,32.7%
London,36L,South West London,H85020,Nelson Medical Practice (H85020),31342,67.0%,37386,16498,38499,97.1%,44.1%,42.9%
London,36L,South West London,H85021,Chesser Practice (H85021),6307,80.2%,10469,4749,10527,99.4%,45.4%,45.1%
London,36L,South West London,H85022,Park Road Medical Centre (H85022),4169,82.7%,6484,2654,6548,99.0%,40.9%,40.5%
London,36L,South West London,H85023,Bishopsford Road Medical Centre (H85023),4724,77.0%,9426,3041,9523,99.0%,32.3%,31.9%
London,36L,South West London,H85024,Mitcham Medical Centre (H85024),8418,65.6%,14802,6018,14959,99.0%,40.7%,40.2%
London,36L,South West London,H85025,Wrythe Green Surgery (H85025),15883,74.7%,20551,6881,20928,98.2%,33.5%,32.9%
London,36L,South West London,H85026,Francis Grove Surgery (H85026),14530,63.9%,10309,3831,10433,98.8%,37.2%,36.7%
London,36L,South West London,H85027,Wimbledon Village Surgery (H85027),13449,55.6%,7859,219,9283,84.7%,2.8%,2.4%
London,36L,South West London,H85028,Wimbledon Medical Practice (H85028),10605,60.6%,9364,3267,9431,99.3%,34.9%,34.6%
London,36L,South West London,H85029,Wide Way Medical Centre (H85029),14004,70.2%,19874,8179,20337,97.7%,41.2%,40.2%
London,36L,South West London,H85030,Old Court House Surgery (H85030),12898,71.7%,21620,8046,21814,99.1%,37.2%,36.9%
London,36L,South West London,H85031,Benhill & Belmont Gp Centre (H85031),12342,72.8%,17205,6527,17561,98.0%,37.9%,37.2%
London,36L,South West London,H85032,Carshalton Fields Surgery (H85032),3869,73.7%,3911,991,3956,98.9%,25.3%,25.1%
London,36L,South West London,H85033,Tamworth House Medical Centre (H85033),9717,74.0%,11823,4224,11931,99.1%,35.7%,35.4%
London,36L,South West London,H85035,Rowans Surgery (H85035),1933,28.3%,2393,1192,2408,99.4%,49.8%,49.5%
London,36L,South West London,H85037,Morden Hall Medical Centre (H85037),15106,66.5%,13391,7150,13440,99.6%,53.4%,53.2%
London,36L,South West London,H85038,Cricket Green Medical Practice (H85038),11933,71.5%,17053,5302,17128,99.6%,31.1%,31.0%
London,36L,South West London,H85041,Earlsfield Surgery (H85041),14448,77.0%,16492,7578,16778,98.3%,45.9%,45.2%
London,36L,South West London,H85045,Bridge Lane Group Practice (H85045),14867,59.8%,19940,12766,20138,99.0%,64.0%,63.4%
London,36L,South West London,H85047,Chatfield Health Care (H85047),11143,69.6%,13035,6130,13216,98.6%,47.0%,46.4%
London,36L,South West London,H85048,Brocklebank Group Practice (H85048),16539,71.1%,19977,8019,20249,98.7%,40.1%,39.6%
London,36L,South West London,H85049,Battersea Rise Group Practice (H85049),7235,68.2%,5723,2764,5788,98.9%,48.3%,47.8%
London,36L,South West London,H85051,Lambton Road Medical Practice (H85051),17649,68.5%,15851,7607,16146,98.2%,48.0%,47.1%
London,36L,South West London,H85052,Streatham Park Surgery (H85052),5076,73.4%,9540,4054,9579,99.6%,42.5%,42.3%
London,36L,South West London,H85053,Sutton Medical Centre (H85053),5087,68.1%,6433,1776,6502,98.9%,27.6%,27.3%
London,36L,South West London,H85055,West Barnes Surgery (H85055),7493,68.3%,10378,4375,10543,98.4%,42.2%,41.5%
London,36L,South West London,H85057,Elborough Street Surgery (H85057),7995,71.4%,4725,1724,4785,98.7%,36.5%,36.0%
London,36L,South West London,H85061,Heathbridge Practice (H85061),21640,69.5%,13863,6295,14081,98.5%,45.4%,44.7%
London,36L,South West London,H85063,Cheam Gp Centre (H85063),13077,79.9%,26775,9215,26942,99.4%,34.4%,34.2%
London,36L,South West London,H85065,Alton Practice (H85065),4318,66.8%,4878,2062,4896,99.6%,42.3%,42.1%
London,36L,South West London,H85066,Balham Park Surgery (H85066),19333,70.7%,14109,6001,14324,98.5%,42.5%,41.9%
London,36L,South West London,H85067,Danebury Avenue Surgery (H85067),3063,67.6%,6017,3766,6164,97.6%,62.6%,61.1%
London,36L,South West London,H85069,Lavender Hill Group Practice (H85069),14467,66.5%,9791,4259,9915,98.7%,43.5%,43.0%
London,36L,South West London,H85070,Central Medical Centre (H85070),9536,76.8%,12710,4602,12782,99.4%,36.2%,36.0%
London,36L,South West London,H85075,Haider Practice (H85075),5458,67.3%,4747,2100,4806,98.8%,44.2%,43.7%
London,36L,South West London,H85076,Stonecot Surgery (H85076),9244,79.9%,14085,4118,14216,99.1%,29.2%,29.0%
London,36L,South West London,H85077,Bolingbroke Medical Centre (H85077),5890,74.2%,7106,3439,7136,99.6%,48.4%,48.2%
London,36L,South West London,H85078,Mitcham Family Practice (H85078),4118,53.6%,4363,0,4419,98.7%,0.0%,0.0%
London,36L,South West London,H85082,Triangle Surgery (H85082),4588,65.4%,6058,1868,6330,95.7%,30.8%,29.5%
London,36L,South West London,H85087,Open Door Surgery (H85087),9871,66.1%,13674,7932,13753,99.4%,58.0%,57.7%
London,36L,South West London,H85088,Clapham Junction Medical Practice (H85088),2505,63.0%,3490,1746,3513,99.3%,50.0%,49.7%
London,36L,South West London,H85090,Figges Marsh Surgery (H85090),9878,61.8%,10519,3486,10678,98.5%,33.1%,32.6%
London,36L,South West London,H85092,Riverhouse Medical Practice (H85092),5990,76.5%,9375,3567,9453,99.2%,38.0%,37.7%
London,36L,South West London,H85095,Robin Hood Lane Health Centre (H85095),14518,73.8%,17889,8398,18021,99.3%,46.9%,46.6%
London,36L,South West London,H85100,St Pauls Cottage Surgery (H85100),7986,63.1%,7727,3213,7916,97.6%,41.6%,40.6%
London,36L,South West London,H85101,Grand Drive Surgery (H85101),9226,67.0%,9988,3993,10287,97.1%,40.0%,38.8%
London,36L,South West London,H85103,Hackbridge Medical Centre (H85103),6645,97.0%,7230,1863,7589,95.3%,25.8%,24.5%
London,36L,South West London,H85105,Cheam Family Practice (H85105),13328,76.7%,14717,2332,14886,98.9%,15.8%,15.7%
London,36L,South West London,H85110,Ravensbury Park Medical Centre (H85110),5339,67.5%,6958,1685,7031,99.0%,24.2%,24.0%
London,36L,South West London,H85111,Battersea Fields Practice (H85111),13152,59.9%,13665,5545,13831,98.8%,40.6%,40.1%
London,36L,South West London,H85112,Vineyard Hill Road Surgery (H85112),5932,63.8%,3044,573,3108,97.9%,18.8%,18.4%
London,36L,South West London,H85113,Maldon Road Surgery (H85113),4105,86.6%,5430,1790,5460,99.5%,33.0%,32.8%
London,36L,South West London,H85114,Thurleigh Road Practice (H85114),14299,71.7%,9106,2966,9147,99.6%,32.6%,32.4%
London,36L,South West London,H85115,Shotfield Medical Practice (H85115),12795,76.9%,20533,6443,20798,98.7%,31.4%,31.0%
London,36L,South West London,H85116,Manor Road Practice (H85116),9658,80.6%,15433,7197,15536,99.3%,46.6%,46.3%
London,36L,South West London,H85618,James O'Riordan Medical Centre (H85618),9511,79.1%,12175,3188,12305,98.9%,26.2%,25.9%
London,36L,South West London,H85634,Merton Medical Practice (H85634),7830,62.0%,6172,3852,6713,91.9%,62.4%,57.4%
London,36L,South West London,H85637,Balham Health Centre (H85637),1334,76.8%,2012,46,2014,99.9%,2.3%,2.3%
London,36L,South West London,H85649,Colliers Wood Surgery (H85649),11174,70.2%,13509,3830,13565,99.6%,28.4%,28.2%
London,36L,South West London,H85653,Wallington Family Practice (H85653),16531,96.4%,28656,10939,28930,99.1%,38.2%,37.8%
London,36L,South West London,H85656,Alexandra Road Surgery (H85656),5713,68.5%,6069,2566,6163,98.5%,42.3%,41.6%
London,36L,South West London,H85659,St Johns Hill Surgery (H85659),11365,72.2%,5193,1273,5245,99.0%,24.5%,24.3%
London,36L,South West London,H85662,Beeches Surgery (H85662),5354,68.7%,4485,248,4550,98.6%,5.5%,5.5%
London,36L,South West London,H85664,Tooting Bec Surgery (H85664),1900,64.2%,605,319,605,100.0%,52.7%,52.7%
London,36L,South West London,H85665,Wallington Medical Centre (H85665),2730,80.5%,4968,3075,5034,98.7%,61.9%,61.1%
London,36L,South West London,H85680,Tooting South Medical Centre (H85680),10450,57.3%,13577,6780,14021,96.8%,49.9%,48.4%
London,36L,South West London,H85682,Tudor Lodge Health Centre (H85682),10117,68.4%,11971,4471,12065,99.2%,37.3%,37.1%
London,36L,South West London,H85683,Faccini House Surgery (H85683),4901,67.0%,5687,3030,5810,97.9%,53.3%,52.2%
London,36L,South West London,H85686,Grove Road Practice (H85686),10969,69.9%,13488,4678,13754,98.1%,34.7%,34.0%
London,36L,South West London,H85691,Nightingale Practice (H85691),105,101.9%,1463,0,1464,99.9%,0.0%,0.0%
London,36L,South West London,H85693,Green Wrythe Surgery (H85693),10848,79.8%,17453,4921,18051,96.7%,28.2%,27.3%
South West,11J,Dorset,J81002,Orchid House Surgery (J81002),8888,84.2%,18441,1590,18525,99.5%,8.6%,8.6%
South West,11J,Dorset,J81003,Winton Health Centre (J81003),10324,66.9%,10137,12,10158,99.8%,0.1%,0.1%
South West,11J,Dorset,J81006,The Adam Practice (J81006),34017,81.2%,49127,2470,49571,99.1%,5.0%,5.0%
South West,11J,Dorset,J81009,Royal Manor Health Care (J81009),12384,100.0%,25569,46,25701,99.5%,0.2%,0.2%
South West,11J,Dorset,J81010,Swanage Medical Practice (J81010),10758,91.0%,20794,1998,20862,99.7%,9.6%,9.6%
South West,11J,Dorset,J81011,Wareham Surgery (J81011),8103,82.9%,17239,109,17378,99.2%,0.6%,0.6%
South West,11J,Dorset,J81012,Shore Medical (J81012),57914,79.4%,77087,4640,77245,99.8%,6.0%,6.0%
South West,11J,Dorset,J81013,Canford Heath Group Pract (J81013),12383,83.1%,16751,80,16818,99.6%,0.5%,0.5%
South West,11J,Dorset,J81014,Westbourne Medical Centre (J81014),20017,84.1%,26542,197,26651,99.6%,0.7%,0.7%
South West,11J,Dorset,J81016,Queens Avenue Surgery (J81016),8285,78.8%,10698,1,10833,98.8%,0.0%,0.0%
South West,11J,Dorset,J81017,Yetminster Medical Centre (J81017),4528,23.7%,0,0,8181,0.0%,,0.0%
South West,11J,Dorset,J81018,Beaufort Road Surgery (J81018),11595,80.3%,16209,0,16374,99.0%,0.0%,0.0%
South West,11J,Dorset,J81019,The Blandford Group Practice (J81019),23634,50.3%,32510,97,48002,67.7%,0.3%,0.2%
South West,11J,Dorset,J81020,Bere Regis Surgery (J81020),3833,18.8%,1444,0,8808,16.4%,0.0%,0.0%
South West,11J,Dorset,J81021,Shelley Manor Holdenhurst Medical Centre (J81021),25840,74.9%,29940,0,29975,99.9%,0.0%,0.0%
South West,11J,Dorset,J81022,West Moors Village Surgery (J81022),5669,88.6%,13108,2211,13197,99.3%,16.9%,16.8%
South West,11J,Dorset,J81025,The Wellbridge Practice (J81025),5933,38.5%,7908,0,13796,57.3%,0.0%,0.0%
South West,11J,Dorset,J81027,Royal Crescent Surgery (J81027),19553,84.5%,39754,240,39796,99.9%,0.6%,0.6%
South West,11J,Dorset,J81028,Highcliffe Medical Centre (J81028),14443,91.2%,36536,7929,36570,99.9%,21.7%,21.7%
South West,11J,Dorset,J81029,The Apples Medical Centre (J81029),5748,59.0%,9692,421,12340,78.5%,4.3%,3.4%
South West,11J,Dorset,J81030,The Verwood Surgery (J81030),8114,79.4%,12884,8,13062,98.6%,0.1%,0.1%
South West,11J,Dorset,J81033,Talbot Medical Centre (J81033),25587,68.9%,25955,41,25971,99.9%,0.2%,0.2%
South West,11J,Dorset,J81034,Quarterjack Surgery (J81034),15363,86.0%,18544,301,18674,99.3%,1.6%,1.6%
South West,11J,Dorset,J81035,Milton Abbas Surgery (J81035),4649,16.5%,1165,0,8766,13.3%,0.0%,0.0%
South West,11J,Dorset,J81036,The Rosemary Health Ctr (J81036),9216,81.5%,12022,194,12098,99.4%,1.6%,1.6%
South West,11J,Dorset,J81039,Moordown Medical Centre (J81039),9410,74.9%,9843,68,9884,99.6%,0.7%,0.7%
South West,11J,Dorset,J81041,The Hadleigh Practice (J81041),19994,85.0%,25807,531,25855,99.8%,2.1%,2.1%
South West,11J,Dorset,J81042,Village Surgery (J81042),9007,71.5%,9570,30,9654,99.1%,0.3%,0.3%
South West,11J,Dorset,J81045,Kinson Road Medical Centre (J81045),10305,87.1%,21146,3,21153,100.0%,0.0%,0.0%
South West,11J,Dorset,J81046,The Harvey Practice (J81046),12641,83.2%,17485,2,17629,99.2%,0.0%,0.0%
South West,11J,Dorset,J81047,James Fisher Medical Centre (J81047),12509,77.7%,14825,44,15341,96.6%,0.3%,0.3%
South West,11J,Dorset,J81049,The Marine & Oakridge Partnership (J81049),9737,82.8%,14057,755,14080,99.8%,5.4%,5.4%
South West,11J,Dorset,J81051,Wyke Regis & Lanehouse Medical Practice (J81051),14886,82.4%,27651,2365,27665,99.9%,8.6%,8.5%
South West,11J,Dorset,J81052,Lifeboat Quay Medical Centre (J81052),6657,77.6%,10891,292,10962,99.4%,2.7%,2.7%
South West,11J,Dorset,J81053,Cerne Abbas Surgery (J81053),4149,5.7%,444,0,9031,4.9%,0.0%,0.0%
South West,11J,Dorset,J81056,Christchurch Medical Practice (J81056),18202,82.6%,35740,3778,35870,99.6%,10.6%,10.5%
South West,11J,Dorset,J81057,Farmhouse Surgery (J81057),6139,78.1%,11077,116,11297,98.1%,1.0%,1.0%
South West,11J,Dorset,J81058,The Cranborne Practice (J81058),12094,71.0%,20483,2860,24666,83.0%,14.0%,11.6%
South West,11J,Dorset,J81059,Southbourne Practice (J81059),9714,73.0%,12372,0,12467,99.2%,0.0%,0.0%
South West,11J,Dorset,J81061,Penny'S Hill Practice (J81061),7752,87.3%,16366,2286,16409,99.7%,14.0%,13.9%
South West,11J,Dorset,J81062,St Albans Medical Centre (J81062),11396,69.2%,14146,69,14313,98.8%,0.5%,0.5%
South West,11J,Dorset,J81064,Poole Town Surgery (J81064),4697,77.4%,6024,207,6128,98.3%,3.4%,3.4%
South West,11J,Dorset,J81066,Stour Surgery (J81066),10495,79.7%,18578,499,18669,99.5%,2.7%,2.7%
South West,11J,Dorset,J81067,Littledown Surgery (J81067),6094,100.0%,6147,0,6213,98.9%,0.0%,0.0%
South West,11J,Dorset,J81068,Atrium Health Centre (J81068),7083,56.9%,9334,90,16054,58.1%,1.0%,0.6%
South West,11J,Dorset,J81070,The Banks & Bearwood Medical Centre (J81070),9894,82.3%,14110,34,14186,99.5%,0.2%,0.2%
South West,11J,Dorset,J81072,The Panton Practice (J81072),14983,58.5%,12559,0,12607,99.6%,0.0%,0.0%
South West,11J,Dorset,J81073,The Bridges Medical Ctr. (J81073),16846,80.3%,37752,354,37761,100.0%,0.9%,0.9%
South West,11J,Dorset,J81074,Barton House Med Practice (J81074),5192,47.9%,6512,1958,11553,56.4%,30.1%,16.9%
South West,11J,Dorset,J81075,Cross Road Surgery (J81075),6317,84.0%,13263,1189,13309,99.7%,9.0%,8.9%
South West,11J,Dorset,J81076,Ammonite Health Partnership (J81076),24518,66.9%,42047,1721,50024,84.1%,4.1%,3.4%
South West,11J,Dorset,J81077,Walford Mill Medical Centre (J81077),7135,89.7%,7505,593,7551,99.4%,7.9%,7.9%
South West,11J,Dorset,J81078,The Grove Medical Centre (J81078),12906,64.6%,19303,4820,25765,74.9%,25.0%,18.7%
South West,11J,Dorset,J81081,Gillingham Medical Practice (J81081),13165,86.2%,24846,2327,24970,99.5%,9.4%,9.3%
South West,11J,Dorset,J81082,Poundbury Doctors Surgery (J81082),7584,62.6%,11462,1882,14895,77.0%,16.4%,12.6%
South West,92G,"Bath & North East Somerset, Swindon & Wiltshire",J81083,Sixpenny Handley Surgery (J81083),4252,17.2%,0,0,7618,0.0%,,0.0%
South West,11J,Dorset,J81086,Evergreen Oak Surgery (J81086),7527,83.1%,8269,134,8271,100.0%,1.6%,1.6%
South West,11J,Dorset,J81087,The Birchwood Practice (J81087),9931,83.9%,11837,521,11952,99.0%,4.4%,4.4%
South West,11J,Dorset,J81609,Malthouse Meadows Surgery (J81609),2991,7.8%,410,0,7496,5.5%,0.0%,0.0%
South West,11J,Dorset,J81612,Corfe Castle Surgery (J81612),3014,19.0%,1289,0,7037,18.3%,0.0%,0.0%
South West,11J,Dorset,J81613,The Dorchester Rd Surgery (J81613),6698,85.8%,13692,2740,13799,99.2%,20.0%,19.9%
South West,11J,Dorset,J81616,Puddletown Surgery (J81616),4259,10.7%,0,0,8459,0.0%,,0.0%
South West,11J,Dorset,J81620,Blackmore Vale Partnership (J81620),26629,83.6%,51146,23483,51157,100.0%,45.9%,45.9%
South West,11J,Dorset,J81621,The Barcellos Family Practice (J81621),7927,85.3%,12382,61,12456,99.4%,0.5%,0.5%
South West,11J,Dorset,J81625,Denmark Road Medical Centre (J81625),10509,79.1%,12932,63,12966,99.7%,0.5%,0.5%
South West,11J,Dorset,J81626,Fordington Surgery (J81626),5049,87.2%,11116,1811,11239,98.9%,16.3%,16.1%
South West,11J,Dorset,J81631,Sandford Surgery (J81631),2201,93.9%,4002,16,4027,99.4%,0.4%,0.4%
South West,11J,Dorset,J81633,Woodlea House Surgery (J81633),6505,87.1%,10301,267,10328,99.7%,2.6%,2.6%
South West,11J,Dorset,J81634,Crescent Providence Surgery (J81634),13129,71.2%,13140,659,13207,99.5%,5.0%,5.0%
South West,11J,Dorset,J81637,The Prince Of Wales Surgery (J81637),6582,84.7%,13256,1220,13522,98.0%,9.2%,9.0%
South West,11J,Dorset,J81644,The Old Dispensary (J81644),3480,85.4%,4284,36,4372,98.0%,0.8%,0.8%
South West,11J,Dorset,J81646,Grove Surgery (J81646),6099,82.7%,9554,322,9773,97.8%,3.4%,3.3%
South West,11J,Dorset,J81647,Lyme Bay Medical Practice (J81647),9060,84.7%,17183,4692,17242,99.7%,27.3%,27.2%
South West,11J,Dorset,J81648,Dr Newman (J81648),4885,78.5%,7012,401,7092,98.9%,5.7%,5.7%
South East,D9Y0V,"Hampshire, Southampton & Isle of Wight",J82001,Burgess Road Surgery (J82001),9616,81.0%,8091,4271,8093,100.0%,52.8%,52.8%
South East,D9Y0V,"Hampshire, Southampton & Isle of Wight",J82002,Lordshill Health Centre (J82002),13293,77.6%,20444,305,20759,98.5%,1.5%,1.5%
South East,D9Y0V,"Hampshire, Southampton & Isle of Wight",J82005,Rowlands Castle Surgery (J82005),4465,89.7%,7690,4377,7831,98.2%,56.9%,55.9%
South East,D9Y0V,"Hampshire, Southampton & Isle of Wight",J82006,Gosport Medical Centre (J82006),13782,85.6%,25682,6952,25707,99.9%,27.1%,27.0%
South East,D9Y0V,"Hampshire, Southampton & Isle of Wight",J82007,Coastal Medical Partnership (J82007),33144,83.7%,69670,2463,69864,99.7%,3.5%,3.5%
South East,D9Y0V,"Hampshire, Southampton & Isle of Wight",J82008,West End Surgery (J82008),7653,73.6%,9973,3,10197,97.8%,0.0%,0.0%
South East,D9Y0V,"Hampshire, Southampton & Isle of Wight",J82009,Emsworth Surgery (J82009),14309,85.6%,19217,5021,19283,99.7%,26.1%,26.0%
South East,D9Y0V,"Hampshire, Southampton & Isle of Wight",J82010,The Bosmere Medical Practice (J82010),18852,77.3%,24264,3656,24604,98.6%,15.1%,14.9%
South East,D9Y0V,"Hampshire, Southampton & Isle of Wight",J82012,Portchester Practice (J82012),10204,82.4%,13876,2435,13940,99.5%,17.5%,17.5%
South East,D4U1Y,Frimley,J82015,Giffard Drive Surgery (J82015),8630,78.5%,9117,1942,9131,99.8%,21.3%,21.3%
South East,D9Y0V,"Hampshire, Southampton & Isle of Wight",J82016,Stockbridge Surgery (J82016),9149,17.3%,3279,0,15238,21.5%,0.0%,0.0%
South East,D9Y0V,"Hampshire, Southampton & Isle of Wight",J82017,The Andover Health Centre Medical Pract (J82017),14147,76.7%,15097,0,15239,99.1%,0.0%,0.0%
South East,D9Y0V,"Hampshire, Southampton & Isle of Wight",J82018,Stokewood Surgery (J82018),19109,77.0%,27685,3061,32943,84.0%,11.1%,9.3%
South East,D9Y0V,"Hampshire, Southampton & Isle of Wight",J82019,The Fryern Surgery (J82019),14845,81.9%,16892,9,17159,98.4%,0.1%,0.1%
South East,D9Y0V,"Hampshire, Southampton & Isle of Wight",J82020,Archers Practice (J82020),6452,73.7%,6322,1,6480,97.6%,0.0%,0.0%
South East,D9Y0V,"Hampshire, Southampton & Isle of Wight",J82021,Waterside Medical Practice (J82021),8854,83.3%,15951,3076,16487,96.7%,19.3%,18.7%
South East,D9Y0V,"Hampshire, Southampton & Isle of Wight",J82022,Victor Street Surgery (J82022),12109,76.2%,17739,1473,17751,99.9%,8.3%,8.3%
South East,D9Y0V,"Hampshire, Southampton & Isle of Wight",J82024,Solent Gp Surgery (J82024),21658,57.0%,18779,1288,18792,99.9%,6.9%,6.9%
South East,D9Y0V,"Hampshire, Southampton & Isle of Wight",J82025,Charlton Hill Surgery (J82025),14576,76.3%,14737,88,16956,86.9%,0.6%,0.5%
South East,D9Y0V,"Hampshire, Southampton & Isle of Wight",J82026,Centre Practice (J82026),14991,81.3%,23780,9947,23894,99.5%,41.8%,41.6%
South East,10R,Portsmouth,J82028,Trafalgar Medical Group Practice (J82028),26993,69.4%,29404,5067,29715,99.0%,17.2%,17.1%
South East,D9Y0V,"Hampshire, Southampton & Isle of Wight",J82033,Gudgeheath Lane Surgery (J82033),9329,82.0%,11620,1839,11726,99.1%,15.8%,15.7%
South East,D9Y0V,"Hampshire, Southampton & Isle of Wight",J82034,Wickham Surgery (J82034),13777,29.3%,8677,3,26804,32.4%,0.0%,0.0%
South East,D9Y0V,"Hampshire, Southampton & Isle of Wight",J82035,St Clements Partnership (J82035),16672,71.4%,17028,114,17451,97.6%,0.7%,0.7%
South East,D9Y0V,"Hampshire, Southampton & Isle of Wight",J82036,West Meon Surgery (J82036),2722,10.5%,174,0,4760,3.7%,0.0%,0.0%
South East,D9Y0V,"Hampshire, Southampton & Isle of Wight",J82039,Ringwood Medical Centre (J82039),11024,86.0%,19615,1,19636,99.9%,0.0%,0.0%
South East,D9Y0V,"Hampshire, Southampton & Isle of Wight",J82040,West End Road Surgery (J82040),16286,80.1%,16849,3113,17337,97.2%,18.5%,18.0%
South East,D9Y0V,"Hampshire, Southampton & Isle of Wight",J82041,The Staunton Surgery (J82041),7281,77.5%,11993,819,12036,99.6%,6.8%,6.8%
South East,D9Y0V,"Hampshire, Southampton & Isle of Wight",J82042,Badgerswood Surgery (J82042),16551,76.1%,27475,4621,28626,96.0%,16.8%,16.1%
South East,D4U1Y,Frimley,J82049,The Oakley Health Group (J82049),29170,85.6%,30774,238,30786,100.0%,0.8%,0.8%
South East,D9Y0V,"Hampshire, Southampton & Isle of Wight",J82050,St Paul'S Surgery (J82050),22736,72.4%,16692,156,17089,97.7%,0.9%,0.9%
South East,D9Y0V,"Hampshire, Southampton & Isle of Wight",J82051,Blackthorn Health Centre (J82051),18104,83.0%,28076,9958,28342,99.1%,35.5%,35.1%
South East,D9Y0V,"Hampshire, Southampton & Isle of Wight",J82053,Adelaide Medical Centre (J82053),10221,78.8%,11629,112,11789,98.6%,1.0%,1.0%
South East,15A,Berkshire West,J82054,Kintbury & Woolton Hill Surgery (J82054),9443,16.2%,1959,1,15745,12.4%,0.1%,0.0%
South East,10R,Portsmouth,J82055,Craneswater Group Practice (J82055),11690,75.3%,15903,2330,15960,99.6%,14.7%,14.6%
South East,D9Y0V,"Hampshire, Southampton & Isle of Wight",J82056,Red And Green Practice (J82056),22674,77.1%,32073,2792,32130,99.8%,8.7%,8.7%
South East,D9Y0V,"Hampshire, Southampton & Isle of Wight",J82058,Bramblys Grange Medical Practice (J82058),20447,75.1%,24192,5644,24435,99.0%,23.3%,23.1%
South East,D9Y0V,"Hampshire, Southampton & Isle of Wight",J82059,The Watercress Medical Group (J82059),7052,60.5%,8491,236,11932,71.2%,2.8%,2.0%
South East,10R,Portsmouth,J82060,The Lighthouse Group Practice (J82060),12914,76.1%,18285,2868,18299,99.9%,15.7%,15.7%
South East,D9Y0V,"Hampshire, Southampton & Isle of Wight",J82061,Odiham Health Centre (J82061),12353,79.4%,17481,980,17571,99.5%,5.6%,5.6%
South East,D9Y0V,"Hampshire, Southampton & Isle of Wight",J82062,Cheviot Road Surgery (J82062),15601,77.0%,19900,790,20128,98.9%,4.0%,3.9%
South East,D9Y0V,"Hampshire, Southampton & Isle of Wight",J82063,Parkside Practice (J82063),8471,75.8%,9960,2,10064,99.0%,0.0%,0.0%
South East,D9Y0V,"Hampshire, Southampton & Isle of Wight",J82064,Bishops Waltham Surgery (J82064),13595,50.6%,14328,0,24754,57.9%,0.0%,0.0%
South East,D4U1Y,Frimley,J82066,The Cambridge Practice (J82066),22361,75.7%,23592,4834,23750,99.3%,20.5%,20.4%
South East,D4U1Y,Frimley,J82067,Voyager Family Health (J82067),18222,78.0%,16878,1278,16902,99.9%,7.6%,7.6%
South East,D9Y0V,"Hampshire, Southampton & Isle of Wight",J82069,Camrose Gillies And Hackwood Partnership (J82069),50651,76.8%,61953,13040,62217,99.6%,21.0%,21.0%
South East,D9Y0V,"Hampshire, Southampton & Isle of Wight",J82071,St. Andrew'S Surgery (J82071),11852,79.4%,11506,1,11533,99.8%,0.0%,0.0%
South East,D9Y0V,"Hampshire, Southampton & Isle of Wight",J82072,Forestside Medical Practice (J82072),11868,82.4%,16322,1327,17216,94.8%,8.1%,7.7%
South East,10R,Portsmouth,J82073,Kirklands Surgery (J82073),9165,78.2%,14353,3777,14381,99.8%,26.3%,26.3%
South East,D9Y0V,"Hampshire, Southampton & Isle of Wight",J82074,Alma Road Surgery (J82074),15176,63.3%,21321,202,26842,79.4%,0.9%,0.8%
